policy,epoch,threshold,query,service_ms,kernel_ms,hits,overflow,cpu_complete_match,process
periodic2,4,80,2,0.040723000000000002,0.0096319997683167458,1,0,1,0
periodic2,4,80,3,0.041001000000000003,0.0096319997683167458,1,0,1,0
periodic2,4,80,4,0.035104999999999997,0.0086719999089837074,2,0,1,0
periodic2,4,80,5,0.040932999999999997,0.0096960002556443214,1,0,1,0
periodic2,4,80,6,0.044068999999999997,0.01142400037497282,1,0,1,0
periodic2,4,80,7,0.040962999999999999,0.0094400001689791679,1,0,1,0
periodic2,5,70,0,0.042174000000000003,0.0086719999089837074,1,0,1,0
periodic2,5,70,1,0.041411999999999997,0.0094079999253153801,1,0,1,0
periodic2,5,70,2,0.037532000000000003,0.0098240002989768982,1,0,1,0
periodic2,5,70,3,0.041467999999999998,0.0092799998819828033,1,0,1,0
periodic2,5,70,4,0.043663,0.011711999773979187,2,0,1,0
periodic2,5,70,5,0.043108,0.011392000131309032,1,0,1,0
periodic2,5,70,6,0.04333,0.011455999687314034,2,0,1,0
periodic2,5,70,7,0.045029,0.011520000174641609,7,0,1,0
periodic2,5,80,0,0.040486000000000001,0.0088959997519850731,1,0,1,0
periodic2,5,80,1,0.041516999999999998,0.0094720004126429558,1,0,1,0
periodic2,5,80,2,0.036155,0.0092479996383190155,1,0,1,0
periodic2,5,80,3,0.042410000000000003,0.0094079999253153801,1,0,1,0
periodic2,5,80,4,0.040600999999999998,0.0090560000389814377,2,0,1,0
periodic2,5,80,5,0.037180999999999999,0.0097920000553131104,1,0,1,0
periodic2,5,80,6,0.041135999999999999,0.0097920000553131104,1,0,1,0
periodic2,5,80,7,0.040654999999999997,0.009344000369310379,1,0,1,0
periodic2,6,70,0,0.049272000000000003,0.0098240002989768982,1,0,1,0
periodic2,6,70,1,0.042064999999999998,0.0099839996546506882,1,0,1,0
periodic2,6,70,2,0.041001999999999997,0.0091840000823140144,1,0,1,0
periodic2,6,70,3,0.047021,0.0096960002556443214,1,0,1,0
periodic2,6,70,4,0.042111999999999997,0.0099200000986456871,2,0,1,0
periodic2,6,70,5,0.041184999999999999,0.009503999724984169,1,0,1,0
periodic2,6,70,6,0.043117000000000003,0.010816000401973724,2,0,1,0
periodic2,6,70,7,0.038525999999999998,0.011552000418305397,7,0,1,0
periodic2,6,80,0,0.038288000000000003,0.0067199999466538429,1,0,1,0
periodic2,6,80,1,0.040807000000000003,0.0093759996816515923,1,0,1,0
periodic2,6,80,2,0.041257000000000002,0.0087040001526474953,1,0,1,0
periodic2,6,80,3,0.040542000000000002,0.0088640004396438599,1,0,1,0
periodic2,6,80,4,0.041270000000000001,0.0098559996113181114,2,0,1,0
periodic2,6,80,5,0.041113999999999998,0.0095359999686479568,1,0,1,0
periodic2,6,80,6,0.040382000000000001,0.0087360003963112831,1,0,1,0
periodic2,6,80,7,0.035804000000000002,0.0094720004126429558,1,0,1,0
size_tiered,0,70,0,0.056989999999999999,0.013344000093638897,1,0,1,0
size_tiered,0,70,1,0.042077000000000003,0.0092479996383190155,1,0,1,0
size_tiered,0,70,2,0.040676999999999998,0.009503999724984169,1,0,1,0
size_tiered,0,70,3,0.041394,0.010143999941647053,1,0,1,0
size_tiered,0,70,4,0.040174000000000001,0.0087679997086524963,2,0,1,0
size_tiered,0,70,5,0.043555999999999997,0.01104000024497509,1,0,1,0
size_tiered,0,70,6,0.040779000000000003,0.0094400001689791679,2,0,1,0
size_tiered,0,70,7,0.043610999999999997,0.011392000131309032,7,0,1,0
size_tiered,0,80,0,0.033820000000000003,0.0073600001633167267,1,0,1,0
size_tiered,0,80,1,0.040425999999999997,0.0092479996383190155,1,0,1,0
size_tiered,0,80,2,0.038057000000000001,0.0071999998763203621,1,0,1,0
size_tiered,0,80,3,0.040328999999999997,0.0096319997683167458,1,0,1,0
size_tiered,0,80,4,0.039465,0.0084480000659823418,2,0,1,0
size_tiered,0,80,5,0.040307000000000003,0.0086080003529787064,1,0,1,0
size_tiered,0,80,6,0.037492999999999999,0.010143999941647053,1,0,1,0
size_tiered,0,80,7,0.035106999999999999,0.0087999999523162842,1,0,1,0
size_tiered,1,70,0,0.042074,0.0066880001686513424,1,0,1,0
size_tiered,1,70,1,0.040332,0.0086080003529787064,1,0,1,0
size_tiered,1,70,2,0.040043000000000002,0.0089600002393126488,1,0,1,0
size_tiered,1,70,3,0.040357999999999998,0.0090880002826452255,1,0,1,0
size_tiered,1,70,4,0.040952000000000002,0.0091199995949864388,2,0,1,0
size_tiered,1,70,5,0.04224,0.011296000331640244,1,0,1,0
size_tiered,1,70,6,0.042187000000000002,0.010912000201642513,2,0,1,0
size_tiered,1,70,7,0.042722999999999997,0.010975999757647514,7,0,1,0
size_tiered,1,80,0,0.038256999999999999,0.0072320001199841499,1,0,1,0
size_tiered,1,80,1,0.038204000000000002,0.0068479999899864197,1,0,1,0
size_tiered,1,80,2,0.038289999999999998,0.0070400000549852848,1,0,1,0
size_tiered,1,80,3,0.040939999999999997,0.0088959997519850731,1,0,1,0
size_tiered,1,80,4,0.040647999999999997,0.0093120001256465912,2,0,1,0
size_tiered,1,80,5,0.040716000000000002,0.0092160003259778023,1,0,1,0
