policy,epoch,threshold,query,rows,runs,service_ms,kernel_ms,candidate_rows,scan_fp_pc_bytes,tail_threads,active_slices,descriptor_bytes,hits,output_bytes,result_hash,cpu_complete_match,oracle_compare_ms,tracked_live_device_bytes,observed_hits,overflow,process,query_arrival_epoch
all_delta,1,80,0,997438,2,0.041014000000000002,0.0090560000389814377,178,6052,78,1,40,1,16,9590926921243046940,1,0.00027700000000000001,42943628,1,0,0,0
all_delta,1,80,1,997438,2,0.041791000000000002,0.0097920000553131104,114065,3878210,367,2,80,1,16,236623074773584124,1,0.00027300000000000002,42943628,1,0,0,0
all_delta,1,80,2,997438,2,0.039764000000000001,0.008832000195980072,188536,6410224,392,2,80,1,16,16482413140649058011,1,0.00026400000000000002,42943628,1,0,0,0
all_delta,1,80,3,997438,2,0.039923,0.0087999999523162842,250600,8520400,280,2,80,1,16,9968587167645841113,1,0.00021100000000000001,42943628,1,0,0,0
all_delta,1,80,4,997438,2,0.040070000000000001,0.0089600002393126488,292278,9937452,330,2,80,2,32,584188552658846184,1,0.00018699999999999999,42943628,2,0,0,0
all_delta,1,80,5,997438,2,0.040397000000000002,0.0093759996816515923,358346,12183764,310,2,80,1,16,5038559823257848905,1,0.000185,42943628,1,0,0,0
all_delta,1,80,6,997438,2,0.040835999999999997,0.0084159998223185539,420724,14304616,140,2,80,1,16,11398467088110825269,1,0.00020000000000000001,42943628,1,0,0,0
all_delta,1,80,7,997438,2,0.040461999999999998,0.0092479996383190155,456793,15530962,167,2,80,1,16,5820997903152764564,1,0.000173,42943628,1,0,0,0
all_delta,1,80,8,997438,2,0.042528999999999997,0.010463999584317207,478062,16254108,146,2,80,1,16,15311275680455022801,1,0.00036699999999999998,42943628,1,0,0,0
all_delta,1,80,9,997438,2,0.040854000000000001,0.0091840000823140144,488345,16603730,103,2,80,1,16,15642014802567948599,1,0.00017200000000000001,42943628,1,0,0,0
all_delta,1,80,10,997438,2,0.043709999999999999,0.011327999643981457,495256,16838704,360,2,80,1,16,11426800160656088415,1,0.000192,42943628,1,0,0,0
all_delta,1,80,11,997438,2,0.040121999999999998,0.0086080003529787064,476301,16194234,371,2,80,1,16,110689257886196643,1,0.000144,42943628,1,0,0,0
all_delta,1,80,12,997438,2,0.043121,0.010591999627649784,428676,14574984,124,2,80,1,16,4379004401049121654,1,0.00050299999999999997,42943628,1,0,0,0
all_delta,1,80,13,997438,2,0.043667999999999998,0.0093120001256465912,371042,12615428,158,2,80,1,16,8144193273189773108,1,0.00015200000000000001,42943628,1,0,0,0
all_delta,1,80,14,997438,2,0.041468999999999999,0.0093120001256465912,263881,8971954,55,2,80,1,16,10423256074610523629,1,0.00022900000000000001,42943628,1,0,0,0
all_delta,1,80,15,997438,2,0.041236000000000002,0.0091519998386502266,38,1292,218,1,40,1,16,14114472362983462821,1,0.00017100000000000001,42943628,1,0,0,0
all_delta,1,80,16,997438,2,0.039181000000000001,0.0073919999413192272,817,27778,463,2,80,1,16,10573732391258072665,1,0.00040000000000000002,42943628,1,0,0,1
all_delta,1,80,17,997438,2,0.038975999999999997,0.0077439998276531696,11664,396576,368,2,80,3,48,7630102637176434923,1,0.00027700000000000001,42943628,3,0,0,1
all_delta,1,80,18,997438,2,0.026308000000000002,0.0069439997896552086,817,27778,463,2,80,0,0,1469598103934665603,1,0.00023699999999999999,42943628,0,0,0,2
all_delta,1,80,19,997438,2,0.029797000000000001,0.0069120000116527081,92,3128,164,1,40,0,0,1469598103934665603,1,0.000202,42943628,0,0,0,2
all_delta,1,80,20,997438,2,0.030377999999999999,0.0074880002066493034,436,14824,76,1,40,0,0,1469598103934665603,1,0.00040299999999999998,42943628,0,0,0,3
all_delta,1,80,21,997438,2,0.038068999999999999,0.0073600001633167267,17596,598264,324,2,80,1,16,14602346578161695386,1,0.00027500000000000002,42943628,1,0,0,3
all_delta,1,80,22,997438,2,0.029451999999999999,0.0069439997896552086,3715,126310,125,1,40,0,0,1469598103934665603,1,0.00024699999999999999,42943628,0,0,0,4
all_delta,1,80,23,997438,2,0.030287999999999999,0.0072639998979866505,199,6766,57,1,40,0,0,1469598103934665603,1,0.00025700000000000001,42943628,0,0,0,4
all_delta,1,80,24,997438,2,0.027538,0.0073279999196529388,817,27778,463,2,80,0,0,1469598103934665603,1,0.00036099999999999999,42943628,0,0,0,5
all_delta,1,80,25,997438,2,0.02947,0.0073600001633167267,10699,363766,309,2,80,0,0,1469598103934665603,1,0.00031399999999999999,42943628,0,0,0,5
all_delta,1,80,26,997438,2,0.031939000000000002,0.0085760001093149185,436,14824,76,1,40,0,0,1469598103934665603,1,0.00021499999999999999,42943628,0,0,0,6
all_delta,1,80,27,997438,2,0.031751000000000001,0.008320000022649765,364978,12409252,334,2,80,0,0,1469598103934665603,1,0.00023800000000000001,42943628,0,0,0,6
all_delta,1,80,28,997438,2,0.033820999999999997,0.011487999930977821,502833,17096322,207,2,80,0,0,1469598103934665603,1,0.00026699999999999998,42943628,0,0,0,6
all_delta,1,80,29,997438,2,0.034355999999999998,0.011008000001311302,428676,14574984,124,2,80,0,0,1469598103934665603,1,0.000193,42943628,0,0,0,6
all_delta,1,80,30,997438,2,0.031295000000000003,0.008832000195980072,223002,7582068,230,2,80,0,0,1469598103934665603,1,0.00017200000000000001,42943628,0,0,0,6
all_delta,1,80,31,997438,2,0.029312999999999999,0.006624000146985054,10699,363766,309,2,80,0,0,1469598103934665603,1,0.00019100000000000001,42943628,0,0,0,6
all_delta,2,70,0,1078191,3,0.038637999999999999,0.0074880002066493034,178,6052,78,1,40,1,16,9590926921243046940,1,0.00042700000000000002,46335254,1,0,0,0
all_delta,2,70,1,1078191,3,0.041411999999999997,0.0092160003259778023,197723,6722582,421,3,120,1,16,236623074773584124,1,0.00038099999999999999,46335254,1,0,0,0
all_delta,2,70,2,1078191,3,0.040542000000000002,0.0091519998386502266,326051,11085734,349,3,120,1,16,16482413140649058011,1,0.00027900000000000001,46335254,1,0,0,0
all_delta,2,70,3,1078191,3,0.041498,0.0097279995679855347,445600,15150400,96,3,120,1,16,9968587167645841113,1,0.00026800000000000001,46335254,1,0,0,0
all_delta,2,70,4,1078191,3,0.040651,0.0091519998386502266,529327,17997118,81,3,120,2,32,584188552658846184,1,0.00033799999999999998,46335254,2,0,0,0
all_delta,2,70,5,1078191,3,0.043279999999999999,0.011807999573647976,645259,21938806,629,3,120,1,16,5038559823257848905,1,0.00029100000000000003,46335254,1,0,0,0
