mode,policy,rotation,cap_mib,interval_ms,window_ms,start_ms,drain_finished_ms,scheduled_batches,completed_batches,dropped_batches,coverage_pass,cpu_complete_match,window_completed_batches,completion_fraction,window_queries_per_s,p99_response_ms,p50_response_ms,max_response_ms,p99_service_ms,mean_service_ms,p99_queue_ms,max_waiting_batches,max_maintenance_backlog,max_publication_lag_ms,max_maintenance_queue_ms,uploaded_bytes,merged_host_rw_bytes,merges,deferred,end_runs,peak_vram_bytes,host_maxrss_kib,case_name,technical_pass
shadow,periodic6,2,1280,0.54,8000,917.487355,8917.423413,14815,14815,0,True,True,14815,1.0,14815.0,0.872053,0.376924,7.457918,0.814807,0.3247493339858195,0.332638,12,1,11.402865999999904,0.142363,34360452,0,0,1,7,1277034496,835684,test_r2_cap1280_periodic6_shadow,True
static_base,all_delta,2,1280,0.54,8000,867.41951,8867.355983,14815,14815,0,True,True,14815,1.0,14815.0,0.869277,0.375595,6.253116,0.812572,0.3239162550793137,0.329733,10,0,0,0,0,0,0,0,1,1277034496,835700,test_r2_cap1280_static_base,True
static_final,all_delta,2,1280,0.54,8000,1200.601297,9200.560443,14815,14815,0,True,True,14815,1.0,14815.0,2.418916,0.450664,9.364317,0.935772,0.4145084902463749,1.879099,16,0,0,0,0,0,0,0,1,1277034496,1043328,test_r2_cap1280_static_final,False
growth,tier4,2,1280,0.54,8000,824.562628,8824.534081,14815,14815,0,True,True,14815,1.0,14815.0,0.990962999999,0.441982,6.87469,0.934011,0.3956886596692561,0.45142,11,1,42.72489199999973,0.0779910000001,70686882,72652860,4,0,3,1277034496,835720,test_r2_cap1280_tier4_growth,True
shadow,tier4,2,1280,0.54,8000,913.530113,8913.458957,14815,14815,0,True,True,14815,1.0,14815.0,0.871392999999,0.377019,7.084173,0.814208,0.324543019979751,0.331915,12,1,43.173231000000214,0.0860590000002,70686882,72652860,4,0,3,1277034496,835644,test_r2_cap1280_tier4_shadow,True
growth,all_delta,2,2048,0.54,8000,831.008861,8830.987352,14815,14815,0,True,True,14815,1.0,14815.0,0.993337999999,0.446997999999,7.27526,0.935525,0.39834724009449446,0.453957999999,12,1,11.645795000000362,0.121113,34360452,0,0,0,7,2082340864,835744,test_r2_cap2048_all_delta_growth,True
shadow,all_delta,2,2048,0.54,8000,914.185734,8914.123645,14815,14815,0,True,True,14815,1.0,14815.0,0.869002,0.375406,6.656611,0.812548999999,0.32324355005062605,0.329486,11,1,10.321754000000055,0.155134999999,34360452,0,0,0,7,2082340864,835700,test_r2_cap2048_all_delta_shadow,True
growth,compact,2,2048,0.54,8000,892.508619,8892.47936,14815,14815,0,True,True,14815,1.0,14815.0,7.246265,0.443311999999,17.177653,0.93674,0.39120027161660353,6.706519,30,1,574.43471,0.0703319999998,2586180240,5103639576,6,0,1,2082340864,1458796,test_r2_cap2048_compact_growth,False
shadow,compact,2,2048,0.54,8000,915.42508,8915.354153,14815,14815,0,True,True,14815,1.0,14815.0,0.873935,0.377378,5.139502,0.815842,0.32631977840027226,0.334542,8,1,504.5947860000001,0.0724819999996,2586180240,5103639576,6,0,1,2082340864,1456540,test_r2_cap2048_compact_shadow,True
growth,periodic6,2,2048,0.54,8000,864.764628,8864.725756,14815,14815,0,True,True,14815,1.0,14815.0,0.992829,0.440068999999,7.408012,0.9352,0.3960226137698309,0.453871,12,1,536.8383789999998,0.11615,466098318,863475732,1,0,1,2082340864,1042244,test_r2_cap2048_periodic6_growth,True
