rotation,mode,policy,batch,epoch,status,rows,runs,merges,deferred,begin_ms,ready_ms,published_ms,writer_done_ms,host_build_ms,metadata_ms,staging_ms,h2d_ms,uploaded_bytes,merge_host_rw_bytes,shared_bytes,current_only_bytes,retired_only_bytes,reader_only_at_publish_bytes,unreferenced_at_publish_bytes,live_at_publish_bytes,last_reader_device_done_ms,old_epoch_owner_released_ms,exclusive_actual_reclaim_ms,lifecycle_ms,arrival_ms,maintenance_queue_ms,other_held_at_publish_bytes,cap_mib
0,sequential,size_tiered,8,1,published,9466817,2,0,0,2547.788496,2551.100578,2551.101815,2551.102316,0,0.0111350000002,0.0182520000003,0.046468,228900,0,0,441229312,0,0,0,508541440,2547.771966,2551.1086,2551.102316,3.320104,2547.788496,0,0,1280
0,sequential,size_tiered,8,2,published,10232664,2,1,0,2567.349365,2603.403856,2603.405438,2603.406089,17.841507,4.234655,5.539421,1.459116,64560048,64788948,0,473394688,229120,0,229120,540935936,2567.332559,2603.414237,2603.413999,36.064872,2567.349365,0,229120,1280
0,sequential,size_tiered,8,3,published,10234444,3,0,0,2622.420014,2625.582247,2625.58375,2625.584356,0,0.00394900000038,0.00615400000015,0.0432689999998,74760,0,0,473469696,0,0,0,540781824,2622.402922,2625.590312,2625.584356,3.170298,2622.420014,0,0,1280
0,sequential,size_tiered,8,4,published,10269993,3,1,0,2644.668518,2652.399676,2652.401274,2652.40184,0.836537,0.186398,0.256,0.176608,3060876,3135636,0,474962688,75008,0,75008,542349824,2644.650273,2652.40963,2652.409425,7.741112,2644.668518,0,75008,1280
0,sequential,size_tiered,8,5,published,10274223,4,0,0,2671.53585,2674.740749,2674.742259,2674.742892,0,0.00844800000004,0.0162640000003,0.0424649999995,177660,0,0,475140352,0,0,0,542452480,2671.519045,2674.749216,2674.742892,3.213366,2671.53585,0,0,1280
0,sequential,size_tiered,8,6,published,10279473,4,1,0,2693.999659,2700.67335,2700.675019,2700.675777,0.217891,0.0317729999997,0.0565420000003,0.10127,618660,796320,0,475361024,177664,0,177664,542850816,2693.981629,2700.683182,2700.682976,6.683523,2693.999659,0,177664,1280
0,sequential,compact,8,0,published,9461367,1,0,0,2720.016178,2794.261566,2794.262697,2794.263211,0,25.896378,36.569716,8.577119,397377414,0,0,441000192,0,0,0,508312320,0,2794.263211,2794.263211,74.247033,2720.016178,0,0,1280
0,sequential,compact,8,1,published_merge_deferred,9466817,2,0,1,2810.388244,2814.979357,2814.980496,2814.980953,0,0.0115849999997,0.0171800000003,0.0476060000001,228900,0,0,441229312,0,0,0,508541440,2810.368036,2814.987798,2814.980953,4.599554,2810.388244,0,0,1280
0,sequential,compact,8,2,published_merge_deferred,10232664,3,0,1,2831.282592,2840.016085,2840.017551,2840.018108,0,2.109537,2.692926,0.721978,32165574,0,0,473394944,0,0,0,540707072,2831.258829,2840.024458,2840.018108,8.741866,2831.282592,0,0,1280
0,sequential,compact,8,3,published_merge_deferred,10234444,4,0,1,2859.104006,2863.346753,2863.348228,2863.348936,0,0.00360200000023,0.0050540000002,0.0407490000002,74760,0,0,473469952,0,0,0,540782080,2859.074613,2863.357296,2863.348936,4.25329,2859.104006,0,0,1280
0,sequential,compact,8,4,published_merge_deferred,10269993,5,0,1,2883.323763,2886.798362,2886.800449,2886.801205,0,0.0959950000001,0.110494,0.0902579999997,1493058,0,0,474963200,0,0,0,542275328,2882.556738,2886.807758,2886.801205,3.483995,2883.323763,0,0,1280
0,sequential,compact,8,5,published_merge_deferred,10274223,6,0,1,2906.041263,2909.221325,2909.223202,2909.224043,0,0.00839999999971,0.013011,0.0414740000001,177660,0,0,475140864,0,0,0,542452992,2906.020723,2909.231003,2909.224043,3.18974,2906.041263,0,0,1280
0,sequential,compact,8,6,published_merge_deferred,10279473,7,0,1,2928.580957,2932.340973,2932.343501,2932.344338,0,0.0108929999997,0.0177390000003,0.0443679999994,220500,0,0,475361536,0,0,0,542673664,2928.560091,2932.361504,2932.344338,3.780547,2928.580957,0,0,1280
0,sequential,all_delta,64,0,published,9461367,1,0,0,2951.764972,3026.162248,3026.163329,3026.16374,0,25.912626,36.618651,8.648738,397377414,0,0,441000192,0,0,0,508312320,0,3026.16374,3026.16374,74.398768,2951.764972,0,0,1280
